stageId,data.type,data.constants,data.answers
sktZNLWxwoQLDeNL9,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Warm vs. Cold""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Soft vs. Smooth""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Solid vs. Creamy""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""Cooked vs. Frozen""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""milk vs. wheat""},{""name"":""TgXQEY6snDg5mJqhg"",""word"":""White vs. Brown""},{""name"":""bMkDEhn2LSNMbMzJW"",""word"":""dairy vs. bakery""}"
6T6PfFAPD45mhXxk3,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""3rnDziGokNwxBXdES"",""word"":""red vs. black""},{""name"":""3rnDziGokNwxBXdES"",""word"":""red vs. blue""}"
NJxC6zXPz8Sst2dvQ,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""3rnDziGokNwxBXdES"",""word"":""red vs. green""},{""name"":""3rnDziGokNwxBXdES"",""word"":""yellow vs. orange""}"
DNBKxCHxDjuHWSaEp,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""3rnDziGokNwxBXdES"",""word"":""green vs. orange""},{""name"":""3rnDziGokNwxBXdES"",""word"":""brown vs. white""},{""name"":""3rnDziGokNwxBXdES"",""word"":""yellow vs. gray""}"
mbHhM63xeLbffWNro,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""3rnDziGokNwxBXdES"",""word"":""warm vs. cold""},{""name"":""3rnDziGokNwxBXdES"",""word"":""soft vs. semi soft""}"
vh3sDMsxGhkywhDaF,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""DNWMABcP6SeXeaa6S"",""word"":""blue vs. red""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""dark vs. light""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""round vs. non round""}"
3Hg8eCWhNfpxQMzZg,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""DNWMABcP6SeXeaa6S"",""word"":""bunch vs. single""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""large vs. small""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""light color vs. dark color""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""non citrus vs. citrus""}"
WA8imFGkBCEgJeA2e,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""DNWMABcP6SeXeaa6S"",""word"":""green vs. other color""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""bunch vs. non bunch""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""crunchy  vs. non crunchy""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""stalk vs. non stalk""}"
czFpF9Dgh89DzGBJ9,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""DNWMABcP6SeXeaa6S"",""word"":""dark color vs. light color""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""healthy vs. unhealhty""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""cooked vs. uncooked""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""cold vs. warm""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""creamy  vs. hard""},{""name"":""DNWMABcP6SeXeaa6S"",""word"":""cake vs. non cake""}"
XxWJunpGXePRFh5tX,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""22p3CdYXxMedNrLtw"",""word"":""blue vs. red""},{""name"":""X47NvuzB3DRrXabrk"",""word"":""sweet vs. tart""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""seeds vs none vs.""},{""name"":""Mb3pyHom3NemRjARR"",""word"":""seeded vs. one seed""},{""name"":""q3THB89a5eyhu9599"",""word"":""sour vs. sweet""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""outside seeds vs. inside seeds""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""tasty vs. gross""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Purple vs. Red""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""large vs. small""}"
nvZmGEAKhex4mBujn,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Small vs. Big""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Sweet vs. Sour""},{""name"":""X47NvuzB3DRrXabrk"",""word"":""large vs. small""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""tropical vs. non-tropical""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Seed vs. Seedless""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""hard vs. soft""},{""name"":""X47NvuzB3DRrXabrk"",""word"":""tree grown vs. plant grown""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""stone fruit vs. stone free""},{""name"":""Mb3pyHom3NemRjARR"",""word"":""tree vs. plant""},{""name"":""q3THB89a5eyhu9599"",""word"":""pitted vs. pitless""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""Dry vs. moist""},{""name"":""X47NvuzB3DRrXabrk"",""word"":""plant vs. vine""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""inedible rind vs. edible skin""},{""name"":""q3THB89a5eyhu9599"",""word"":""smooth vs. bumpy""},{""name"":""X47NvuzB3DRrXabrk"",""word"":""tropical vs. temperate""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""pod fruit vs. single fruit""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Hard skin vs. Soft skin""}"
iJuXDrphZNFbFbd3W,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""22p3CdYXxMedNrLtw"",""word"":""large vs. small""},{""name"":""q3THB89a5eyhu9599"",""word"":""tree vs. ground""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""fresh vs. Frozen""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""tuber vs. plant""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""sweet vs. plain""},{""name"":""X47NvuzB3DRrXabrk"",""word"":""root grown vs. plant""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""hard vs. soft""},{""name"":""q3THB89a5eyhu9599"",""word"":""smooth vs. bumpy""},{""name"":""q3THB89a5eyhu9599"",""word"":""savory vs. sweet""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""draws bugs vs. not""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""fat-containing vs. fat-free""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""eaten raw vs. not""},{""name"":""q3THB89a5eyhu9599"",""word"":""flowering vs. non-flowering""},{""name"":""Mb3pyHom3NemRjARR"",""word"":""vegetable vs. fruit""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""perenial vs. annual""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""perenial vs. annual""}"
QGYcErW6ESFtELzbF,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Soft vs. Hard""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""frozen vs. room temperature""},{""name"":""q3THB89a5eyhu9599"",""word"":""baked vs. fried""},{""name"":""Mb3pyHom3NemRjARR"",""word"":""american vs. foreign""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Bake vs. Cook""},{""name"":""q3THB89a5eyhu9599"",""word"":""cold vs. warm""},{""name"":""Mb3pyHom3NemRjARR"",""word"":""baked vs. cooked""},{""name"":""22p3CdYXxMedNrLtw"",""word"":""baked  vs. non-baked""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""hand held vs. eat with spoon""},{""name"":""q3THB89a5eyhu9599"",""word"":""easy vs. difficult""},{""name"":""kJpWksEdYbtNSmW4B"",""word"":""Fresh vs. Frozen""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""spoils fast vs. last a few days""},{""name"":""q3THB89a5eyhu9599"",""word"":""crunchy vs. soft""},{""name"":""kHZmjCCHG6NNnW3ui"",""word"":""healthy vs. fattening""}"
69cy4nf2GGwLnnu3M,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance zero"",""list_name"":""Berry List"",""list"":[{""name"":""Strawberry""},{""name"":""Blueberry""},{""name"":""Raspberry""},{""name"":""Blackberry""},{""name"":""Cranberry""}],""calculateScore"":false}","{""name"":""sSnWvewwtyaLaXB45"",""word"":""red vs. blue""},{""name"":""56LytjmnuaGktczcE"",""word"":""white vs. black""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""sweet vs. tart""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""summer vs. fall""}"
pGwPSTihnWsWzgTot,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance one"",""list_name"":""Fruit List"",""list"":[{""name"":""Apple""},{""name"":""Orange""},{""name"":""Pear""},{""name"":""Mango""},{""name"":""Pineapple""},{""name"":""Peach""},{""name"":""Plum""},{""name"":""Lemon""},{""name"":""Grapes""},{""name"":""Watermelon""},{""name"":""Guava""},{""name"":""Cantaloupe""}],""calculateScore"":true}","{""name"":""sSnWvewwtyaLaXB45"",""word"":""tropical vs. field""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""stone vs. seed""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""vine vs. tree""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""sour vs. sweet""}"
ymqg9N6myDmymwysk,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance two"",""list_name"":""Vegetable List"",""list"":[{""name"":""Carrot""},{""name"":""Celery""},{""name"":""Potato""},{""name"":""Lettuce""},{""name"":""Cauliflower""},{""name"":""Cucumber""},{""name"":""Corn""},{""name"":""Broccoli""},{""name"":""Avocado""},{""name"":""Onion""},{""name"":""Peas""},{""name"":""Mushroom""}],""calculateScore"":true}","{""name"":""sSnWvewwtyaLaXB45"",""word"":""vegetable vs. fruit""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""sweet vs. savory""},{""name"":""56LytjmnuaGktczcE"",""word"":""root vs. leafy""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""summer  vs. winter""},{""name"":""56LytjmnuaGktczcE"",""word"":""starchy vs. non-starchy""},{""name"":""56LytjmnuaGktczcE"",""word"":""green vs. non-green""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""root vs. field""},{""name"":""56LytjmnuaGktczcE"",""word"":""above vs. below ground""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""dark vs. sunshine""}"
wJahKHwCgQSAQGXHs,PuttingFoodIntoCategories,"{""name"":""Putting Food Into Categories instance three"",""list_name"":""Dessert List"",""list"":[{""name"":""Tiramisu""},{""name"":""Macaron""},{""name"":""Donut""},{""name"":""Sorbet""},{""name"":""Frozen yogurt""},{""name"":""Pudding""},{""name"":""Cookie""},{""name"":""Brownie""},{""name"":""Cheesecake""},{""name"":""Candy apple""},{""name"":""Soufflé""},{""name"":""Churro""}],""calculateScore"":true}","{""name"":""sSnWvewwtyaLaXB45"",""word"":""rich vs. light""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""fancy vs. common""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""expensive vs. cheap""},{""name"":""56LytjmnuaGktczcE"",""word"":""soft vs.  crispy""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""delicate vs. heavy""},{""name"":""56LytjmnuaGktczcE"",""word"":""cold vs.  warm""},{""name"":""sSnWvewwtyaLaXB45"",""word"":""spicy vs. mild""},{""name"":""56LytjmnuaGktczcE"",""word"":""dairy vs. flour/sugar-based""},{""name"":""56LytjmnuaGktczcE"",""word"":""italian vs. french""},{""name"":""56LytjmnuaGktczcE"",""word"":""american vs. spanish""}"
